"date","Sleep.Score","Total.Sleep.Duration","Total.Bedtime","Awake.Time","REM.Sleep.Duration","Light.Sleep.Duration","Deep.Sleep.Duration","Bedtime.Start","Bedtime.End"
"2022-05-19",74,25470,31140,5670,4980,13260,7230,"2022-05-18T23:59:55.000+02:00","2022-05-19T08:38:55.000+02:00"
"2022-05-20",60,19500,23640,4140,6900,7680,4920,"2022-05-20T06:53:57.000+02:00","2022-05-20T13:27:57.000+02:00"
"2022-05-21",68,22470,29580,7110,4650,12810,5010,"2022-05-21T06:02:31.000+02:00","2022-05-21T14:15:31.000+02:00"
"2022-05-22",70,27720,35460,7740,5970,13950,7800,"2022-05-22T00:54:34.000+02:00","2022-05-22T10:45:34.000+02:00"
"2022-05-23",76,26910,32340,5430,6690,14550,5670,"2022-05-23T00:53:44.000+02:00","2022-05-23T09:52:44.000+02:00"
"2022-05-24",63,20040,24540,4500,2550,11730,5760,"2022-05-24T00:42:22.000+02:00","2022-05-24T07:31:22.000+02:00"
"2022-05-25",47,13230,16140,2910,3780,6450,3000,"2022-05-25T03:51:11.000+02:00","2022-05-25T08:20:11.000+02:00"
"2022-05-26",63,22110,29880,7770,2790,10860,8460,"2022-05-26T02:01:16.000+02:00","2022-05-26T10:19:16.000+02:00"
"2022-05-27",67,24690,32580,7890,3120,13290,8280,"2022-05-27T00:42:57.000+02:00","2022-05-27T09:45:57.000+02:00"
"2022-05-28",69,23550,26580,3030,8970,9510,5070,"2022-05-28T07:32:22.000+02:00","2022-05-28T14:55:22.000+02:00"
"2022-05-29",73,27240,32940,5700,6690,14640,5910,"2022-05-29T03:40:43.000+02:00","2022-05-29T12:49:43.000+02:00"
"2022-05-30",67,24420,32640,8220,4650,12360,7410,"2022-05-30T01:01:29.000+02:00","2022-05-30T10:05:29.000+02:00"
"2022-05-31",72,27000,33960,6960,4650,16530,5820,"2022-05-31T00:36:55.000+02:00","2022-05-31T10:02:55.000+02:00"
"2022-06-01",67,24120,31680,7560,2250,11940,9930,"2022-06-01T00:55:47.000+02:00","2022-06-01T09:43:47.000+02:00"
